id,0dayPrice,7dayPrice,14dayPrice,30dayPrice,90dayPrice,
SLAB2016q4,0.0,0.045,-0.004,0.054,0.024
SLAB2017q1,0.0,-0.035,-0.011,-0.065,
IBOC2016q3,0.0,0.229,0.293,0.21,0.207
IBOC2017q1,0.0,-0.079,-0.071,-0.034,
MDR2016q3,0.0,-0.033,0.243,0.046,0.446
MDR2017q1,0.0,-0.013,-0.074,-0.033,
TSCO2016q3,0.0,0.118,0.159,0.09,0.13
TSCO2017q1,0.0,-0.124,-0.06,-0.053,
DDR2016q3,0.0,0.013,0.026,0.015,0.035
DDR2017q1,0.0,-0.072,-0.123,-0.032,
ESRT2016q3,0.0,0.025,0.06,0.006,0.071
ESRT2017q1,0.0,-0.006,0.033,0.026,
TYL2016q3,0.0,-0.064,-0.075,-0.051,-0.113
TYL2017q1,0.0,0.031,0.052,0.024,
CFR2016q3,0.0,0.056,0.107,-0.019,0.215
CFR2016q4,0.0,0.049,0.052,0.005,0.046
CFR2017q1,0.0,-0.051,-0.041,-0.028,
SGEN2016q3,0.0,0.361,0.439,0.142,0.163
SGEN2017q1,0.0,-0.078,-0.061,-0.115,
AOS2016q3,0.0,0.049,0.103,0.033,0.081
AOS2017q1,0.0,-0.018,0.018,-0.015,
DTE2016q3,0.0,-0.016,0.001,-0.008,0.052
DTE2016q4,0.0,0.03,0.031,0.015,0.078
DTE2017q1,0.0,0.002,0.043,-0.006,
SWFT2016q3,0.0,0.101,0.124,0.084,0.022
SWFT2017q1,0.0,-0.064,-0.018,-0.031,
NFX2016q3,0.0,-0.002,0.139,-0.065,-0.009
NFX2017q1,0.0,0.017,-0.046,0.001,
WGL2017q1,0.0,-0.002,0.006,-0.004,0.0
WGL2017q2,0.0,-0.006,0.005,-0.003,
DXCM2016q3,0.0,-0.082,-0.187,-0.196,0.008
DXCM2017q1,0.0,-0.146,-0.181,-0.118,
B2016q3,0.0,0.077,0.167,-0.032,0.173
B2017q1,0.0,0.002,0.026,0.005,
MORN2016q3,0.0,0.017,0.06,-0.022,0.085
MORN2017q1,0.0,0.029,0.008,0.002,
KIM2016q3,0.0,-0.028,0.002,-0.047,-0.024
KIM2017q1,0.0,-0.068,-0.111,-0.017,
GSAT2016q3,0.0,0.082,0.012,0.069,0.975
GSAT2017q1,0.0,0.402,0.219,0.124,
POL2016q3,0.0,0.038,0.111,-0.014,0.125
POL2017q1,0.0,-0.021,-0.043,-0.011,
NATI2016q3,0.0,0.061,0.056,0.014,0.115
NATI2017q1,0.0,0.074,0.114,0.015,
TRMK2016q3,0.0,0.236,0.254,0.159,0.256
TRMK2017q1,0.0,-0.062,-0.067,-0.023,
JACK2017q1,0.0,-0.004,0.04,-0.011,0.047
JACK2017q2,0.0,-0.006,-0.008,-0.027,
FDS2017q1,0.0,0.004,0.037,0.003,-0.041
FDS2017q2,0.0,0.022,0.01,0.009,0.015
FDS2017q3,0.0,-0.024,,0.001,
CTL2016q3,0.0,0.075,0.061,0.033,0.147
CTL2017q1,0.0,0.054,0.119,0.044,
RARE2016q3,0.0,0.32,0.176,0.331,0.21
RARE2017q1,0.0,-0.059,-0.069,-0.051,
BLUE2016q3,0.0,0.285,0.503,0.134,0.606
BLUE2017q1,0.0,-0.013,-0.036,0.037,
RCL2016q3,0.0,0.098,0.115,0.01,0.162
RCL2017q1,0.0,0.009,0.042,0.019,
SUI2016q3,0.0,-0.06,-0.069,0.003,0.033
SUI2017q1,0.0,-0.009,0.022,-0.021,
TWX2016q3,0.0,0.019,0.079,-0.008,0.114
TWX2017q1,0.0,-0.023,0.005,-0.003,
AMED2016q3,0.0,0.07,0.015,0.076,0.199
AMED2017q1,0.0,0.022,0.046,0.022,
BCO2016q3,0.0,0.067,0.152,-0.016,0.143
BCO2017q1,0.0,0.042,0.042,0.003,
RH2017q3,0.0,-0.215,-0.253,-0.172,-0.169
RH2018q1,0.0,0.233,0.517,0.193,
UHS2016q3,0.0,-0.053,-0.121,-0.044,-0.118
UHS2017q1,0.0,-0.012,-0.068,0.004,
SCHW2016q3,0.0,0.182,0.221,0.14,0.246
SCHW2017q1,0.0,-0.045,-0.036,0.005,
MANH2016q3,0.0,-0.035,0.026,-0.023,-0.031
MANH2016q4,0.0,0.03,0.035,0.0,-0.049
MANH2017q1,0.0,-0.024,0.023,0.002,
CLF2016q3,0.0,0.46,0.955,0.103,0.832
