"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2013","168.01","167.48","168.54","167.15","143.94M","-0.53"
"Sep 27, 2013","168.91","168.84","169.14","168.47","99.14M","-0.46"
"Sep 26, 2013","169.69","169.32","170.17","169.05","77.15M","0.38"
"Sep 25, 2013","169.04","169.64","169.98","168.89","117.31M","-0.29"
"Sep 24, 2013","169.53","169.90","170.53","169.21","106.33M","-0.24"
"Sep 23, 2013","169.93","170.49","170.65","169.39","104.62M","-0.46"
"Sep 20, 2013","170.72","172.33","172.33","170.58","132.87M","-1.18"
"Sep 19, 2013","172.76","173.52","173.60","172.59","146.62M","-0.17"
"Sep 18, 2013","173.05","171.01","173.52","170.58","203.46M","1.16"
"Sep 17, 2013","171.07","170.46","171.11","170.46","82.52M","0.45"
"Sep 16, 2013","170.31","171.16","171.24","170.04","126.19M","0.58"
"Sep 13, 2013","169.33","169.13","169.46","168.74","72.73M","0.22"
"Sep 12, 2013","168.95","169.34","169.56","168.72","83.21M","-0.27"
"Sep 11, 2013","169.40","168.64","169.40","168.35","94.55M","0.31"
"Sep 10, 2013","168.87","168.64","168.90","168.26","105.85M","0.74"
"Sep 09, 2013","167.63","166.45","167.73","166.45","87.56M","0.96"
"Sep 06, 2013","166.04","166.51","166.98","164.48","159.76M","0.05"
"Sep 05, 2013","165.96","165.85","166.40","165.73","63.09M","0.13"
"Sep 04, 2013","165.75","164.43","166.03","164.13","97.39M","0.83"
"Sep 03, 2013","164.39","165.23","165.58","163.70","142.38M","0.45"
"Aug 30, 2013","163.65","164.51","164.53","163.17","134.93M","-0.32"
"Aug 29, 2013","164.17","163.55","165.04","163.40","119.20M","0.16"
"Aug 28, 2013","163.91","163.26","164.49","163.05","108.11M","0.36"
"Aug 27, 2013","163.33","164.36","166.00","163.21","158.62M","-1.61"
"Aug 26, 2013","166.00","166.79","167.30","165.89","89.71M","-0.37"
"Aug 23, 2013","166.62","166.55","166.83","165.77","90.89M","0.34"
"Aug 22, 2013","166.06","164.90","166.30","164.89","101.47M","0.91"
"Aug 21, 2013","164.56","165.12","166.03","164.19","159.53M","-0.62"
"Aug 20, 2013","165.58","165.04","166.20","164.86","89.29M","0.49"
"Aug 19, 2013","164.77","165.64","166.21","164.76","96.44M","-0.64"
"Aug 16, 2013","165.83","166.06","166.63","165.50","130.87M","-0.33"
