id,90dayPrice,cashandcashequivalents,cashfromfinancingactivities,cashfrominvestingactivities,cashfromoperatingactivities,costofrevenue,ebit,grossprofit,incomebeforetaxes,interestexpense,netincome,propertyplantequipmentnet,sellinggeneraladministrativeexpenses,totalassets,totalcurrentassets,totalliabilities,totalcurrentliabilities,totallongtermdebt,totalreceivablesnet,totalrevenue,totalshorttermdebt,totalstockholdersequity
XLNX2017q1,0.0,0.156,-0.105,-0.733,1.671,-0.043,0.046,0.028999999999999998,0.069,-0.445,0.124,0.032,0.035,0.022000000000000002,0.027000000000000003,0.113,0.05,0.0,-0.294,0.006999999999999999,0.005,-0.0
XLNX2017q2,1.0,0.18600000000000003,0.076,-2.2569999999999997,-0.45799999999999996,0.045,-0.05,-0.008,-0.033,-0.7490000000000001,0.006999999999999999,0.0,0.004,0.004,-0.001,-0.051,-0.006,0.0,0.05,0.006999999999999999,0.005,0.013999999999999999
XLNX2017q3,1.0,0.21600000000000003,0.597,2.086,-0.425,0.013000000000000001,-0.078,0.01,-0.07400000000000001,-0.659,-0.136,0.031,0.004,-0.022000000000000002,-0.026000000000000002,0.012,0.017,0.0,0.49700000000000005,0.011000000000000001,0.005,-0.055
XOM2016q3,0.0,0.16899999999999998,-0.27,0.027999999999999997,0.185,0.015,0.251,-0.006,0.669,0.413,0.5589999999999999,-0.008,0.034,-0.009000000000000001,-0.063,-0.028999999999999998,-0.018000000000000002,-0.016,-0.066,0.006999999999999999,0.151,0.0
XPO2016q3,1.0,-0.046,0.09300000000000001,-0.133,-0.474,0.019,-0.009000000000000001,-0.048,-0.7120000000000001,-0.018000000000000002,-0.6759999999999999,-0.016,-0.064,-0.001,0.021,0.02,-0.0,-0.008,0.032,0.008,-0.033,-0.002
XRAY2016q3,0.0,0.061,-2.334,5.0,-0.184,-0.11,0.045,-0.025,-0.054000000000000006,-0.09699999999999999,-0.122,0.036000000000000004,-0.057,0.044000000000000004,0.059000000000000004,0.066,0.149,0.34,0.055,-0.066,0.6729999999999999,0.004
XYL2016q3,1.0,0.125,-0.9209999999999999,0.273,0.774,-0.040999999999999995,0.0,-0.033,0.055999999999999994,-0.2,0.027999999999999997,0.005,-0.035,0.018000000000000002,0.042,0.026000000000000002,0.012,0.004,0.01,-0.038,-0.319,0.024
YUM2016q3,0.0,2.6289999999999996,-5.0,-0.738,0.10099999999999999,0.057999999999999996,0.332,0.212,0.257,1.175,0.835,-0.021,0.033,0.275,1.13,0.009000000000000001,0.43799999999999994,0.713,0.114,0.102,0.231,3.8739999999999997
ZBH2016q3,1.0,-0.513,-5.0,4.163,-0.071,-0.251,-0.03,0.046,-0.063,0.039,-5.0,0.023,-0.006,0.040999999999999995,-0.07,0.1,0.053,0.045,0.006,-0.052000000000000005,0.152,0.021
ZTS2016q3,1.0,-0.011000000000000001,0.14800000000000002,1.531,0.745,0.027999999999999997,-0.016,0.027000000000000003,0.003,0.0,0.067,0.031,0.006,0.026000000000000002,0.011000000000000001,0.0,-0.005,-0.004,0.03,0.027000000000000003,-1.0,0.168
