ticker,name,marketCap,ipoyear,sector,industry,link,exchange,Country,spy,qqq,dow
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,3707822000,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaxj,nasdaq,USA,,,
SNDR,"Schneider National, Inc.",3706595534,2017,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/sndr,NYSE,USA,,,
FLO,"Flowers Foods, Inc.",3705487279,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/flo,NYSE,USA,,,
WPX,"WPX Energy, Inc.",3697701883,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/wpx,NYSE,USA,,,
LPLA,LPL Financial Holdings Inc.,3695957089,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/lpla,nasdaq,USA,,,
THG,"The Hanover Insurance Group, Inc.",3690663165,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/thg,NYSE,USA,,,
CLGX,"CoreLogic, Inc.",3687015016,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/clgx,NYSE,USA,,,
CST,"CST Brands, Inc.",3685387219,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cst,NYSE,USA,,,
SHO,"Sunstone Hotel Investors, Inc.",3670724085,2004,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/sho,NYSE,USA,,,
PAG,"Penske Automotive Group, Inc.",3660229667,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/pag,NYSE,USA,,,
LILA,Liberty Global plc,3655043271,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lila,Nasdaq,USA,,TRUE,
TCBI,"Texas Capital Bancshares, Inc.",3652935562,2003,Finance,Major Banks,http://www.nasdaq.com/symbol/tcbi,nasdaq,USA,,,
SAVE,"Spirit Airlines, Inc.",3630805387,2011,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/save,nasdaq,USA,,,
TWO,Two Harbors Investments Corp,3625262186,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/two,NYSE,USA,,,
NEA,Nuveen AMT-Free Quality Municipal Income Fund,3621058062,2002,n/a,n/a,http://www.nasdaq.com/symbol/nea,NYSE,USA,,,
NJR,NewJersey Resources Corporation,3608823950,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/njr,NYSE,USA,,,
UMBF,UMB Financial Corporation,3608742484,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/umbf,nasdaq,USA,,,
TCO,"Taubman Centers, Inc.",3607602857,1992,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/tco,NYSE,USA,,,
PSB,"PS Business Parks, Inc.",3606559763,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/psb,NYSE,USA,,,
HRG,"HRG Group, Inc.",3605769865,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/hrg,NYSE,USA,,,
PAH,Platform Specialty Products Corporation,3600106106,2014,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/pah,NYSE,USA,,,
AMCX,AMC Networks Inc.,3598048858,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx,nasdaq,USA,,,
RBC,Regal Beloit Corporation,3595961252,n/a,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/rbc,NYSE,USA,,,
HE,"Hawaiian Electric Industries, Inc.",3595290042,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/he,NYSE,USA,,,
TUP,Tupperware Brands Corporation,3591824150,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/tup,NYSE,USA,,,
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund,3590876446,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vtip,nasdaq,USA,,,
MBFI,MB Financial Inc.,3590592954,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mbfi,nasdaq,USA,,,
TXRH,"Texas Roadhouse, Inc.",3576636249,2004,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/txrh,nasdaq,USA,,,
LILAK,Liberty Global plc,3574088025,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lilak,Nasdaq,USA,,TRUE,
LSI,"Life Storage, Inc.",3564853304,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lsi,NYSE,USA,,,
