Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange
CVU,"CPI Aerostructures, Inc.",9,79493850,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/cvu,AMEX
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.34,174654495.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cik,AMEX
DHY,Credit Suisse High Yield Bond Fund,2.86,286133370.4,n/a,1998,n/a,n/a,http://www.nasdaq.com/symbol/dhy,AMEX
CRVP,"Crystal Rock Holdings, Inc.",0.8101,17302448.75,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/crvp,AMEX
DXR,Daxor Corporation,7.03,26703194.89,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxr,AMEX
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",15.327,74138231.7,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/vcf,AMEX
VFL,Delaware Investments Florida Insured Municipal Income Fund,13.44,60862273.92,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/vfl,AMEX
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",14.57,167627485.8,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/vmm,AMEX
DLA,"Delta Apparel, Inc.",22.48,170211254,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/dla,AMEX
DGSE,"DGSE Companies, Inc.",1.72,46277685.32,n/a,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/dgse,AMEX
DPW,Digital Power Corporation,0.48,5520217.92,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dpw,AMEX
DSS,"Document Security Systems, Inc.",0.81,11088011.43,n/a,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/dss,AMEX
DMF,"Dreyfus Municipal Income, Inc.",9.05,187753843.1,n/a,1988,n/a,n/a,http://www.nasdaq.com/symbol/dmf,AMEX
GRF,"Eagle Capital Growth Fund, Inc.",7.94,28496477.38,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/grf,AMEX
EVM,Eaton Vance California Municipal Bond Fund,11.79,252239362.9,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/evm,AMEX
EIA,Eaton Vance California Municipal Bond Fund II,11.97,46519681.32,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eia,AMEX
CEV,Eaton Vance California Municipal Income Trust,12.71,92205648.25,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/cev,AMEX
EVV,Eaton Vance Limited Duration Income Fund,13.92,1616766491,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/evv,AMEX
MAB,Eaton Vance Massachusetts Municipal Bond Fund,14,24759196,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/mab,AMEX
MMV,Eaton Vance Massachusetts Municipal Income Trust,13.7532,37642797.22,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/mmv,AMEX
MIW,Eaton Vance Michigan Municipal Bond Fund,13.87,20805901.55,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/miw,AMEX
EMI,Eaton Vance Michigan Municipal Income Trust,13.2,26571520.8,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/emi,AMEX
EIM,Eaton Vance Municipal Bond Fund,12.81,873235282.5,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eim,AMEX
EIV,Eaton Vance Municipal Bond Fund II,12.71,127270072.5,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eiv,AMEX
EMJ,Eaton Vance New Jersey Municipal Bond Fund,13.2,34044991.2,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/emj,AMEX
EVJ,Eaton Vance New Jersey Municipal Income Trust,12.34,56741269.72,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evj,AMEX
ENX,Eaton Vance New York Municipal Bond Fund,12.56,196711956.8,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/enx,AMEX
NYH,Eaton Vance New York Municipal Bond Fund II,11.94,30524729.4,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nyh,AMEX
EVY,Eaton Vance New York Municipal Income Trust,13.13,71896610.63,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evy,AMEX
EIO,Eaton Vance Ohio Municipal Bond Fund,13.27,33678463.8,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eio,AMEX
EVO,Eaton Vance Ohio Municipal Income Trust,14.05,40143055.85,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evo,AMEX
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,13.03,38569321.2,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eip,AMEX
EVP,Eaton Vance Pennsylvania Municipal Income Trust,12.16,31628330.24,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evp,AMEX
ELMD,"Electromed, Inc.",5.6,46088935.2,n/a,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/elmd,AMEX
ECF,Ellsworth Growth and Income Fund Ltd.,9.08,116918601.8,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/ecf,AMEX
EMAN,eMagin Corporation,2.5,87381472.5,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/eman,AMEX
MSN,Emerson Radio Corporation,1.41,38162851.32,n/a,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/msn,AMEX
