Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange
APF,"Morgan Stanley Asia-Pacific Fund, Inc.",16.68,228923992.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apf,NYSE
CAF,Morgan Stanley China A Share Fund Inc.,22.35,489050742.8,n/a,2006,n/a,n/a,http://www.nasdaq.com/symbol/caf,NYSE
MSD,"Morgan Stanley Emerging Markets Debt Fund, Inc.",10.15,213375583.8,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/msd,NYSE
EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",8.19,549760302,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/edd,NYSE
MSF,"Morgan Stanley Emerging Markets Fund, Inc.",16.43,236789537.9,n/a,1991,n/a,n/a,http://www.nasdaq.com/symbol/msf,NYSE
IIF,"Morgan Stanley India Investment Fund, Inc.",33.79,487188274.8,n/a,1994,n/a,n/a,http://www.nasdaq.com/symbol/iif,NYSE
MOS,Mosaic Company (The),23.23,8154128859,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/mos,NYSE
MSI,"Motorola Solutions, Inc.",88.42,14453916336,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/msi,NYSE
MOV,Movado Group Inc.,24.05,552684704.7,n/a,n/a,Consumer Non-Durables,Consumer Specialties,http://www.nasdaq.com/symbol/mov,NYSE
MPLX,MPLX LP,32.71,12388751436,n/a,2012,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/mplx,NYSE
MRC,MRC Global Inc.,15.49,1463393214,n/a,2012,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mrc,NYSE
ICB,"MS Income Securities, Inc.",18.3002,164030823.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/icb,NYSE
MSA,MSA Safety Incorporporated,79.29,3008259508,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/msa,NYSE
MSM,"MSC Industrial Direct Company, Inc.",85.11,4846001691,n/a,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/msm,NYSE
MSCI,MSCI Inc,104.22,9427315670,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/msci,NYSE
MSG,MSG Networks Inc.,199.78,4703576568,n/a,2015,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/msg,NYSE
MSGN,MSG Networks Inc.,22.4,1681760886,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/msgn,NYSE
MLI,"Mueller Industries, Inc.",29.82,1717694085,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/mli,NYSE
MWA,MUELLER WATER PRODUCTS,11.56,1843971609,n/a,2006,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/mwa,NYSE
MULE,"MuleSoft, Inc.",26.15,3367776755,n/a,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mule,NYSE
MUR,Murphy Oil Corporation,24.4,4210125987,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mur,NYSE
MUSA,Murphy USA Inc.,72.45,2664395118,n/a,2013,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/musa,NYSE
MVO,MV Oil Trust,5.78,66470000,n/a,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mvo,NYSE
MVC,"MVC Capital, Inc.",9.85,222180658.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mvc,NYSE
MVCB,"MVC Capital, Inc.",25.57,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mvcb,NYSE
MYE,"Myers Industries, Inc.",18.3,550449103.8,n/a,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/mye,NYSE
MYOV,Myovant Sciences Ltd.,11.93,719142654.8,n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myov,NYSE
NC,"NACCO Industries, Inc.",74.4,508436356.8,n/a,n/a,Consumer Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/nc,NYSE
NBHC,National Bank Holdings Corporation,31.5,843635331,n/a,2012,Finance,Major Banks,http://www.nasdaq.com/symbol/nbhc,NYSE
NFG,National Fuel Gas Company,56.71,4844001302,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/nfg,NYSE
NHI,"National Health Investors, Inc.",79.25,3247930012,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nhi,NYSE
NOV,"National Oilwell Varco, Inc.",31.79,12081522241,n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/nov,NYSE
NPK,"National Presto Industries, Inc.",108.65,756581558.8,n/a,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/npk,NYSE
NNN,National Retail Properties,39.75,5928293933,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nnn,NYSE
NNN^E,National Retail Properties,25.43,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nnn^e,NYSE
NNN^F,National Retail Properties,24.49,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nnn^f,NYSE
NSM,Nationstar Mortgage Holdings Inc.,17.92,1752083523,n/a,2012,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nsm,NYSE
NGS,"Natural Gas Services Group, Inc.",24.55,317612261.7,n/a,2002,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ngs,NYSE
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",8.14,182864025.5,n/a,2012,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/ngvc,NYSE
NRP,Natural Resource Partners LP,27.3,333933763.8,n/a,2002,Energy,Coal Mining,http://www.nasdaq.com/symbol/nrp,NYSE
NLS,"Nautilus Group, Inc. (The)",18.8,577378042.4,n/a,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/nls,NYSE
NCI,"Navigant Consulting, Inc.",19.62,927020278.8,n/a,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/nci,NYSE
NAV,Navistar International Corporation,25.56,2508673206,n/a,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/nav,NYSE
NAV^D,Navistar International Corporation,10.35,0,n/a,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/nav^d,NYSE
NCS,"NCI Building Systems, Inc.",17,1205295614,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/ncs,NYSE
NCR,NCR Corporation,40.15,4870195000,n/a,n/a,Miscellaneous,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/ncr,NYSE
